Date,AAPL-corpbond,HD-corpbond,IBM-corpbond,NKE-corpbond,AAPL-stock,HD-stock,IBM-stock,NKE-stock
12/10/2013, 93.76 , 92.20 , 99.44 , 91.07 ,128.0941307,107.9036484,87.9175757,124.3754877
12/11/2013, 93.63 , 92.07 , 99.62 , 90.44 ,127.1451138,108.4389966,86.96452016,120.6388948
12/12/2013, 93.43 , 91.96 , 99.20 , 90.43 ,126.9594179,107.7938678,86.05615483,120.4335541
12/13/2013, 93.65 , 92.01 , 99.46 , 90.68 ,125.5755058,108.4527204,85.77322736,120.7020981
12/16/2013, 94.12 , 92.00 , 99.25 , 90.73 ,126.2708765,108.5762595,88.27991198,120.7652489
12/17/2013, 93.84 , 92.28 , 99.23 , 90.90 ,125.7023625,107.9174069,87.2425055,121.2708298
12/18/2013, 93.84 , 92.59 , 99.62 , 91.14 ,124.746541,109.8802772,88.70182225,124.0987997
12/19/2013, 94.22 , 92.18 , 99.38 , 91.15 ,123.3173847,109.7430033,89.45633058,123.6406422
12/20/2013, 94.39 , 92.66 , 99.49 , 90.03 ,124.3501685,109.8665551,89.35704678,122.1871587
12/23/2013, 94.16 , 93.16 , 99.45 , 90.63 ,129.1224411,110.5803216,90.45399791,121.8237922
12/24/2013, 93.85 , 92.85 , 99.33 , 90.63 ,128.5743108,110.6901259,90.945434,122.6927257
12/26/2013, 94.54 , 92.72 , 99.33 , 89.22 ,127.7204059,111.939266,92.00271419,123.530068
12/27/2013, 94.10 , 93.01 , 99.40 , 89.23 ,126.8574342,112.0627577,91.86870222,123.482669
12/30/2013, 93.68 , 92.44 , 99.37 , 91.36 ,125.5959177,112.4745558,92.52886888,124.3989699
12/31/2013, 94.02 , 92.87 , 99.32 , 90.36 ,127.0681655,113.0236389,93.10464635,124.2409861
1/2/2014, 93.81 , 92.62 , 99.29 , 90.47 ,125.2810481,112.5843838,92.09204616,123.6090265
1/3/2014, 93.96 , 92.53 , 99.49 , 90.48 ,122.5291643,112.4059181,92.6430167,123.2772898
1/6/2014, 94.24 , 93.04 , 99.52 , 90.95 ,123.1973467,111.3215452,92.32536106,122.3292926
1/7/2014, 93.94 , 93.19 , 99.55 , 90.96 ,122.3162519,111.8706172,94.1668878,122.4241256
1/8/2014, 93.57 , 92.70 , 99.40 , 90.10 ,123.090902,112.4608447,93.30322224,121.7921906
1/9/2014, 94.01 , 92.86 , 99.38 , 90.71 ,121.5190176,111.9666867,93.01034357,121.7921906
1/10/2014, 94.65 , 93.57 , 99.50 , 91.30 ,120.708107,112.570649,92.95077915,121.523608
1/13/2014, 94.17 , 94.10 , 99.67 , 92.49 ,121.3400573,111.1431158,91.4120147,118.7746108
1/14/2014, 93.90 , 93.78 , 99.35 , 91.94 ,123.7544892,111.1980188,92.28564167,118.7588696
1/15/2014, 94.54 , 93.80 , 99.63 , 91.95 ,126.2391725,111.2804024,93.18904574,119.1696456
1/16/2014, 94.19 , 94.03 , 99.82 , 92.03 ,125.5347614,111.5411917,93.69533628,118.1584836
1/17/2014, 94.28 , 94.27 , 99.39 , 92.24 ,122.4589393,111.184295,94.35553226,115.946655
1/21/2014, 94.47 , 93.83 , 99.59 , 91.60 ,124.3615259,110.4430841,93.53152743,116.5154393
